resref,status,areas,occurrences,frames,max_frame_size_x1,format,selected_run,qa_decision,qa_date,correction_id,notes
AM0602E,validé-x4,AR0602,1,7,75x90,BAM V1,,,,ar0602-eau-inner8-canvas32,"Animation eau; 7B x4 rejeté (hachures) ; 3B x4 appliqué par lot avec AM0602C/D/G ; fondu de silhouette 8 px x4 + canvas 32 px x4 ; validé en jeu le 2026-08-23; livré par pack de zone AR0602 depuis le 2026-08-23, assets inchangés, QA rejouée OK."
AM0602F,validé-x4,AR0602,1,9,165x195,BAM V1,,,,am0602f-lantern-apo8-x4-30fps-v2-active-rebase,"Lanterne; fondu objet 8 px x4 et canvas 32 px x4 validés; V2 TimedTimeline 15 -> 30 FPS (9 poses natives + 9 intermédiaires, 18 phases); pack installé avec sauvegarde réversible; QA en jeu validée par l'utilisateur le 2026-08-23."
AM0602G,validé-x4,AR0602,1,7,70x140,BAM V1,,,,ar0602-eau-inner8-canvas32,"Animation eau; 7B x4 rejeté (hachures) ; 3B x4 appliqué par lot avec AM0602C/D/E ; fondu de silhouette 8 px x4 + canvas 32 px x4 ; validé en jeu le 2026-08-23; livré par pack de zone AR0602 depuis le 2026-08-23, assets inchangés, QA rejouée OK."
AM0602J,validé-x4,AR0601,1,8,248x126,BAM V1,,,,ar0601-all-bam-apo8-x4-30fps-v2,Air Plane (AR0601); x4 SeedVR2 7B/LAB (run ar0601-all-bam-seedvr7b-lab-x4); V2 TimedTimeline 30 FPS apo-8 (run ar0601-all-bam-apo8-x4-30fps-v2); 8 frames natives -> 16 frames (16 phases). Historique : réserve sur la boucle roue/mécanisme le 2026-08-23. QA ingame utilisateur confirmée le 2026-09-02 : rendu accepté ; ressource validée x4.
AM0602K1,validé-x4,AR0601,1,8,136x198,BAM V1,,,,ar0601-all-bam-apo8-x4-30fps-v2,"Air Plane (AR0601, antichambre du donjon d'Irenicus); x4 SeedVR2 7B/LAB (run ar0601-all-bam-seedvr7b-lab-x4); V2 TimedTimeline 30 FPS apo-8 (run ar0601-all-bam-apo8-x4-30fps-v2); 8 frames natives -> 16 frames (16 phases); livré par pack de zone; QA en jeu validée par l'utilisateur le 2026-08-23."
AM0602K2,validé-x4,AR0601,1,8,135x203,BAM V1,,,,ar0601-all-bam-apo8-x4-30fps-v2,"Air Plane (AR0601, antichambre du donjon d'Irenicus); x4 SeedVR2 7B/LAB (run ar0601-all-bam-seedvr7b-lab-x4); V2 TimedTimeline 30 FPS apo-8 (run ar0601-all-bam-apo8-x4-30fps-v2); 8 frames natives -> 16 frames (16 phases); livré par pack de zone; QA en jeu validée par l'utilisateur le 2026-08-23."
AM0602L1,validé-x4,AR0601,1,6,151x221,BAM V1,,,,ar0601-all-bam-apo8-x4-30fps-v2,"Air Plane (AR0601, antichambre du donjon d'Irenicus); x4 SeedVR2 7B/LAB (run ar0601-all-bam-seedvr7b-lab-x4); V2 TimedTimeline 30 FPS apo-8 (run ar0601-all-bam-apo8-x4-30fps-v2); 6 frames natives -> 12 frames (12 phases); livré par pack de zone; QA en jeu validée par l'utilisateur le 2026-08-23."
AM0602L2,validé-x4,AR0601,1,6,151x221,BAM V1,,,,ar0601-all-bam-apo8-x4-30fps-v2,"Air Plane (AR0601, antichambre du donjon d'Irenicus); x4 SeedVR2 7B/LAB (run ar0601-all-bam-seedvr7b-lab-x4); V2 TimedTimeline 30 FPS apo-8 (run ar0601-all-bam-apo8-x4-30fps-v2); 6 frames natives -> 12 frames (12 phases); livré par pack de zone; QA en jeu validée par l'utilisateur le 2026-08-23."
AM0602M,validé-x4,AR0601,1,8,204x210,BAM V1,,,,ar0601-all-bam-apo8-x4-30fps-v2,"Air Plane (AR0601, antichambre du donjon d'Irenicus); x4 SeedVR2 7B/LAB (run ar0601-all-bam-seedvr7b-lab-x4); V2 TimedTimeline 30 FPS apo-8 (run ar0601-all-bam-apo8-x4-30fps-v2); 8 frames natives -> 16 frames (16 phases); livré par pack de zone; QA en jeu validée par l'utilisateur le 2026-08-23."
AM0603A,validé-x4,AR0603,1,9,132x113,BAM V1,animations/batches/ar0603-six-bam-apo8-x4-30fps-collapse-holds-20260916,animations/index/qa-decisions/AM0603A/2026-09-17-accepted-am0603a-ar0603-collapse-holds-apo8-30fps.json,2026-09-17,,Collapse des maintiens puis TimedTimeline 30 fps Apollo-8 ; installé et QA ingame validée par l'utilisateur sur AR0603 le 2026-09-17.
AM0603B,validé-x4,AR0603,1,9,92x95,BAM V1,animations/batches/ar0603-six-bam-apo8-x4-30fps-collapse-holds-20260916,animations/index/qa-decisions/AM0603B/2026-09-17-accepted-am0603b-ar0603-collapse-holds-apo8-30fps.json,2026-09-17,,Collapse des maintiens puis TimedTimeline 30 fps Apollo-8 ; installé et QA ingame validée par l'utilisateur sur AR0603 le 2026-09-17.
AM0603C1,validé-x4,AR0603,1,4,154x109,BAM V1,animations/batches/ar0603-c1-c2-mechanical-native-alpha-apo8-30fps-20260917,animations/index/qa-decisions/AM0603C1/2026-09-17-accepted-am0603c1-ar0603-mechanical-native-alpha-apo8-30fps.json,2026-09-17,native-alpha-nearest,"Recette mécanique : SeedVR2 7B/LAB x4, TimedTimeline Apollo-8 30 fps, alpha vanilla nearest binaire et RGB caché nearest-opaque ; installé et QA ingame validée sur AR0603 le 2026-09-17."
AM0603C2,validé-x4,AR0603,1,4,154x112,BAM V1,animations/batches/ar0603-c1-c2-mechanical-native-alpha-apo8-30fps-20260917,animations/index/qa-decisions/AM0603C2/2026-09-17-accepted-am0603c2-ar0603-mechanical-native-alpha-apo8-30fps.json,2026-09-17,native-alpha-nearest,"Recette mécanique : SeedVR2 7B/LAB x4, TimedTimeline Apollo-8 30 fps, alpha vanilla nearest binaire et RGB caché nearest-opaque ; installé et QA ingame validée sur AR0603 le 2026-09-17."
AM0603D1,validé-x4,AR0603,1,6,121x89,BAM V1,animations/batches/ar0603-six-bam-apo8-x4-30fps-collapse-holds-20260916,animations/index/qa-decisions/AM0603D1/2026-09-17-accepted-am0603d1-ar0603-collapse-holds-apo8-30fps.json,2026-09-17,,Collapse des maintiens puis TimedTimeline 30 fps Apollo-8 ; installé et QA ingame validée par l'utilisateur sur AR0603 le 2026-09-17.
AM0603D2,validé-x4,AR0603,1,6,119x94,BAM V1,animations/batches/ar0603-six-bam-apo8-x4-30fps-collapse-holds-20260916,animations/index/qa-decisions/AM0603D2/2026-09-17-accepted-am0603d2-ar0603-collapse-holds-apo8-30fps.json,2026-09-17,,Collapse des maintiens puis TimedTimeline 30 fps Apollo-8 ; installé et QA ingame validée par l'utilisateur sur AR0603 le 2026-09-17.
AM0603D3,validé-x4,AR0603,1,6,118x93,BAM V1,animations/ressources/AM0603D3/runs/am0603d3-apo8-x4-30fps-weighted-segments-20260917,animations/index/qa-decisions/AM0603D3/2026-09-17-accepted-am0603d3-ar0603-weighted-segments-apo8-30fps.json,2026-09-17,,TimedTimeline 30 fps Apollo-8 par segments pondérés ; installé et QA ingame validée par l'utilisateur sur AR0603 le 2026-09-17.
AM0603H,validé-x4,AR0603,1,9,152x109,BAM V1,animations/batches/ar0603-six-bam-apo8-x4-30fps-collapse-holds-20260916,animations/index/qa-decisions/AM0603H/2026-09-17-accepted-am0603h-ar0603-collapse-holds-apo8-30fps.json,2026-09-17,,Collapse des maintiens puis TimedTimeline 30 fps Apollo-8 ; installé et QA ingame validée par l'utilisateur sur AR0603 le 2026-09-17.
AM0603I,validé-x4,AR0603,1,9,65x99,BAM V1,animations/batches/ar0603-six-bam-apo8-x4-30fps-collapse-holds-20260916,animations/index/qa-decisions/AM0603I/2026-09-17-accepted-am0603i-ar0603-collapse-holds-apo8-30fps.json,2026-09-17,,Collapse des maintiens puis TimedTimeline 30 fps Apollo-8 ; installé et QA ingame validée par l'utilisateur sur AR0603 le 2026-09-17.
AM0604A,validé-x4,AR0604,1,7,121x102,BAM V1,,,,ar0604-apo8-x4-30fps-v2,"Cirque, 1er etage (AR0604); seule ressource de la zone (fontaine); x4 SeedVR2 7B/LAB (run ar0604-all-bam-seedvr7b-lab-x4); V2 TimedTimeline 30 FPS apo-8 (run ar0604-apo8-x4-30fps-v2); 7 frames natives -> 14 frames (14 phases); livre par pack de zone; QA en jeu validee par l'utilisateur le 2026-08-23. Fondu alpha de contour tente a deux reprises (feather par distance 6px puis 2px x4, puis masque manuel sur le pack valide) : les trois essais reproduisent le meme symptome en jeu (rendu pixelise/basse frequence, comme le BAM natif) malgre RGB, cycles, dimensions et registre verifies identiques a la version validee a chaque fois ; cause non identifiee, hypothese principale : le chemin de rendu ne gere pas les valeurs alpha intermediaires (ni 0 ni 255) sur cette ressource. Abandonne, ressource laissee sans fondu ; ne plus retenter de correction alpha ici, cf. FLAME2S."
AM0700A,validé-x4,AR0700,1,7,178x163,BAM V1,,,,ar0700-fountains-apo8-x4-30fps-v2,"Fontaine claire. Le prototype historique fontaine-runtime-x4 (hook cible EnableAM0700AAnimationX4Test) est supersede : ne pas le reactiver. Fontaine d'AR0700 (deux fontaines physiques, chacune en deux couches BAM superposees : A+B a la position monde 981,1026 et C+D a 313,3766). x4 SeedVR2 7B/LAB (run ar0700-fountains-seedvr7b-lab-x4) puis V2 TimedTimeline 30 FPS apo-8 (run ar0700-fountains-apo8-x4-30fps-v2 ; 7 frames natives -> 14 frames, timeline [0,7,1,8,2,9,3,10,4,11,5,12,6,13], 14 phases, 0,467 s, duree de boucle inchangee). Geometrie uniforme ; flag ARE 0x1145 (bit 1 absent) donc chemin alpha strict, aucune correction RGB necessaire. Livre par pack de zone ; QA en jeu validee par l'utilisateur le 2026-08-27."
AM0700B,validé-x4,AR0700,1,7,178x163,BAM V1,,,,ar0700-fountains-apo8-x4-30fps-v2,"Fontaine, couche teintee superposee a AM0700A. Fontaine d'AR0700 (deux fontaines physiques, chacune en deux couches BAM superposees : A+B a la position monde 981,1026 et C+D a 313,3766). x4 SeedVR2 7B/LAB (run ar0700-fountains-seedvr7b-lab-x4) puis V2 TimedTimeline 30 FPS apo-8 (run ar0700-fountains-apo8-x4-30fps-v2 ; 7 frames natives -> 14 frames, timeline [0,7,1,8,2,9,3,10,4,11,5,12,6,13], 14 phases, 0,467 s, duree de boucle inchangee). Geometrie uniforme ; flag ARE 0x1145 (bit 1 absent) donc chemin alpha strict, aucune correction RGB necessaire. Livre par pack de zone ; QA en jeu validee par l'utilisateur le 2026-08-27."
AM0700C,validé-x4,AR0700,1,7,169x165,BAM V1,,,,ar0700-fountains-apo8-x4-30fps-v2,"Fontaine sud. Fontaine d'AR0700 (deux fontaines physiques, chacune en deux couches BAM superposees : A+B a la position monde 981,1026 et C+D a 313,3766). x4 SeedVR2 7B/LAB (run ar0700-fountains-seedvr7b-lab-x4) puis V2 TimedTimeline 30 FPS apo-8 (run ar0700-fountains-apo8-x4-30fps-v2 ; 7 frames natives -> 14 frames, timeline [0,7,1,8,2,9,3,10,4,11,5,12,6,13], 14 phases, 0,467 s, duree de boucle inchangee). Geometrie uniforme ; flag ARE 0x1145 (bit 1 absent) donc chemin alpha strict, aucune correction RGB necessaire. Livre par pack de zone ; QA en jeu validee par l'utilisateur le 2026-08-27."
AM0700D,validé-x4,AR0700,1,7,169x165,BAM V1,,,,ar0700-fountains-apo8-x4-30fps-v2,"Fontaine sud, couche teintee superposee a AM0700C. Fontaine d'AR0700 (deux fontaines physiques, chacune en deux couches BAM superposees : A+B a la position monde 981,1026 et C+D a 313,3766). x4 SeedVR2 7B/LAB (run ar0700-fountains-seedvr7b-lab-x4) puis V2 TimedTimeline 30 FPS apo-8 (run ar0700-fountains-apo8-x4-30fps-v2 ; 7 frames natives -> 14 frames, timeline [0,7,1,8,2,9,3,10,4,11,5,12,6,13], 14 phases, 0,467 s, duree de boucle inchangee). Geometrie uniforme ; flag ARE 0x1145 (bit 1 absent) donc chemin alpha strict, aucune correction RGB necessaire. Livre par pack de zone ; QA en jeu validee par l'utilisateur le 2026-08-27."
AM0801A,validé-x4,AR0801;AR0808,2,7,181x108,BAM V1,animations/ressources/AM0801A/runs/ar0801-am0801a-reboutcx-spline-fit1-feather16-20260918,animations/index/qa-decisions/AM0801A/2026-09-18-accepted-am0801a-ar0801-ar0808-reboutcx-feather16.json,2026-09-18,spline-fit1-innerfeather16,"Bassin rectangulaire (390,815). Bassins de sang d'AR0801 et de sa variante AR0808 (mêmes positions), QA ingame validée par l'utilisateur le 2026-09-18 sur les deux maps. Apollo-8 30 fps (7→14 phases, 0,467 s, aucun doublon dans le lookup natif), spline fit 1 multi-contour feather 16 px x4, RGB préservé. Upscale ReboutCX x4 (alpha nearest) retenu après comparatif : SeedVR 7B jugé granuleux, SeedVR 3B écarté (cellules hexagonales). Feather 16 (et non 4) : le liseré brun d'un pixel du BAM donne sinon une dentelure sur le liseré de pierre clair."
AM0801B1,validé-x4,AR0801;AR0808,2,7,130x169,BAM V1,animations/ressources/AM0801B1/runs/ar0801-am0801b1-spline-fit1-feather16-seamR-20260918,animations/index/qa-decisions/AM0801B1/2026-09-18-accepted-am0801b1-ar0801-ar0808-mosaic-feather16-seamr.json,2026-09-18,spline-fit1-innerfeather16-seam-right8-16,"Moitié gauche du bassin pentagonal (2848,663), jointe à AM0801B2 à x=2848. Bassins de sang d'AR0801 et de sa variante AR0808 (mêmes positions), QA ingame validée par l'utilisateur le 2026-09-18 sur les deux maps. Apollo-8 30 fps (7→14 phases, 0,467 s, aucun doublon dans le lookup natif), spline fit 1 multi-contour feather 16 px x4, RGB préservé. SeedVR2 7B/LAB x4 sur mosaïque B1|B2 (marche RGB au raccord 1,1 → 0,3), alpha source restauré 8+16 px x4 sur le bord droit."
AM0801B2,validé-x4,AR0801;AR0808,2,7,130x169,BAM V1,animations/ressources/AM0801B2/runs/ar0801-am0801b2-spline-fit1-feather16-seamL-20260918,animations/index/qa-decisions/AM0801B2/2026-09-18-accepted-am0801b2-ar0801-ar0808-mosaic-feather16-seaml.json,2026-09-18,spline-fit1-innerfeather16-seam-left8-16,"Moitié droite du bassin pentagonal (2848,663), jointe à AM0801B1 à x=2848. Bassins de sang d'AR0801 et de sa variante AR0808 (mêmes positions), QA ingame validée par l'utilisateur le 2026-09-18 sur les deux maps. Apollo-8 30 fps (7→14 phases, 0,467 s, aucun doublon dans le lookup natif), spline fit 1 multi-contour feather 16 px x4, RGB préservé. SeedVR2 7B/LAB x4 sur mosaïque B1|B2, alpha source restauré 8+16 px x4 sur le bord gauche."
AM0803A,validé-x4,AR0803;AR0809,2,7,139x96,BAM V1,animations/ressources/AM0803A/runs/am0803a-apo8-x4-30fps-v2-spline-fit1-feather4-20260907,animations/index/qa-decisions/AM0803A/2026-09-07-accepted-am0803a-apo8-x4-30fps-v2-spline-fit1-feather4-20260907.json,2026-09-07,,
AM0803B,validé-x4,AR0803;AR0809,2,7,112x64,BAM V1,animations/ressources/AM0803B/runs/am0803b-apo8-x4-30fps-v2-spline-fit1-feather4-warmblur-20260907,animations/index/qa-decisions/AM0803B/2026-09-07-accepted-am0803b-apo8-x4-30fps-v2-spline-fit1-feather4-warmblur-20260907.json,2026-09-07,,
AM0803C,validé-x4,AR0803;AR0809,2,7,94x80,BAM V1,animations/ressources/AM0803C/runs/am0803c-apo8-x4-30fps-v2-spline-fit1-feather4-warmblur-20260907,animations/index/qa-decisions/AM0803C/2026-09-07-accepted-am0803c-apo8-x4-30fps-v2-spline-fit1-feather4-warmblur-20260907.json,2026-09-07,,
AM0803D,validé-x4,AR0803;AR0809,2,7,96x30,BAM V1,animations/ressources/AM0803D/runs/am0803d-apo8-x4-30fps-v2-spline-fit1-feather4-20260907,animations/index/qa-decisions/AM0803D/2026-09-07-accepted-am0803d-apo8-x4-30fps-v2-spline-fit1-feather4-20260907.json,2026-09-07,,
AM0803E,validé-x4,AR0803;AR0809,2,7,84x71,BAM V1,animations/ressources/AM0803E/runs/am0803e-apo8-x4-30fps-v2-spline-fit1-feather4-warmblur-20260907,animations/index/qa-decisions/AM0803E/2026-09-07-accepted-am0803e-apo8-x4-30fps-v2-spline-fit1-feather4-warmblur-20260907.json,2026-09-07,,
AM0900DM,validé-x4,AR0900,2,20,249x185,BAM V1,,,,,"Deux variantes v3 liées aux occurrences (2246,2187) et (1689,2662), masques QA validés 2026-08-27 sur sauvegarde ancienne et nouvelle."
AM0902L,non-traité,AR0902,1,32,129x159,BAM V1,,,,,
AM1001A,non-traité,AR0905;AR1001;AR1006;AR1007;AR1009,5,7,212x149,BAM V1,,,,,
AM1003A,validé-x4,AR0506;AR1003;AR2011;AR5010,4,7,122x93,BAM V1,animations/ressources/AM1003A/runs/ar1003-am1003a-spline-fit1-feather6-lowercover5-minrow190-20260921,animations/index/qa-decisions/AM1003A/2026-09-21-accepted-ar1003-am1003a-spline-fit1-feather6-lowercover5-minrow190-20260921.json,2026-09-21,ar1003-am1003a-spline-fit1-feather6-lowercover5-minrow190,"Bassin a jet, alpha strict, 7 -> 14 phases, cover restreint aux rangees >= 190. Repli sans cover : run ar1003-am1003a-spline-fit1-feather6-20260921."
AM1004A,validé-x4,AR1004;AR1601;AR2012,3,7,171x149,BAM V1,animations/ressources/AM1004A/runs/ar1004-am1004a-spline-fit1-feather6-lowercover5-20260921,animations/index/qa-decisions/AM1004A/2026-09-21-accepted-ar1004-am1004a-spline-fit1-feather6-lowercover5-20260921.json,2026-09-21,ar1004-am1004a-spline-fit1-feather6-lowercover5,"Bassin a jet, alpha strict 0x1141, 7 -> 14 phases. Repli sans couverture : run ar1004-am1004a-spline-fit1-feather6-20260920."
AM1008B,validé-x4,AR1008,1,7,53x39,BAM V1,animations/batches/ar1008-twisted-rune-apo8-x4-30fps-spline-fit1-feather4-20260911,animations/index/qa-decisions/AM1008B/2026-09-11-accepted-ar1008-twisted-rune-apo8-x4-30fps-spline-fit1-feather4-20260911.json,2026-09-11,spline-fit1-multicontour-per-frame-feather4,
AM1008BL,validé-x4,AR1008,1,8,102x145,BAM V1,animations/batches/ar1008-twisted-rune-apo8-x4-30fps-spline-fit1-feather4-20260911,animations/index/qa-decisions/AM1008BL/2026-09-11-accepted-ar1008-twisted-rune-apo8-x4-30fps-spline-fit1-feather4-20260911.json,2026-09-11,spline-fit1-multicontour-per-frame-feather4,
AM1101A,non-traité,AR1101,1,9,240x177,BAM V1,,,,,
AM1104A,non-traité,AR1103,1,9,75x50,BAM V1,,,,,
AM1104B,non-traité,AR1104,1,9,95x103,BAM V1,,,,,
AM1400A,validé-x4,AR1400,1,7,166x133,BAM V1,,,,,"Fontaine de jour des Ruines du temple (AR1400), planning ARE 0x001FFFC0 = 6h-20h59. x4 SeedVR2 7B/LAB (run ar1400-all-bam-seedvr7b-lab-x4, alpha agrandi au plus proche voisin, luminance intra-masque -0,8 % vs source). V2 TimedTimeline 30 FPS apo-8 (run ar1400-fountains-apo8-x4-30fps-v2, plan a73e0afc) : 7 ancres -> 14 frames, timeline 0,7,1,8,2,9,3,10,4,11,5,12,6,13, duree 0,4667 s inchangee ; 7 ancres reprises octet-identiques, les 7 phases intermediaires portent l'alpha exact de leur ancre gauche. Aucun maintien duplique, couture cyclique mesuree du meme ordre que les autres transitions. qa-approval.json accepte. QA en jeu validee par l'utilisateur le 2026-08-28, de jour ET de nuit. Livre par le pack de zone combined-20260828-plus-ar1400-fountains-only (AR1400 = AM1400A + AM1400N seulement ; les 5 arbres 1400T00x en ont ete retires, voir leurs lignes). Contour alpha 1 bit en escaliers x4 non encore corrige : spline fit 1.0 + fondu interieur 6 px x4 prevue, non appliquee a ce jour."
AM1400N,validé-x4,AR1400,1,7,166x133,BAM V1,,,,,"Fontaine de nuit des Ruines du temple (AR1400), meme position que AM1400A, planning ARE 0xFFE0003F = 21h-5h59. Alpha strictement identique sur les 7 frames natives. Meme chaine et meme run que AM1400A (x4 ar1400-all-bam-seedvr7b-lab-x4 ; 30 FPS ar1400-fountains-apo8-x4-30fps-v2, plan a73e0afc, 7 -> 14 frames, 0,4667 s). QA en jeu validee par l'utilisateur le 2026-08-28. Meme pack de zone combined-20260828-plus-ar1400-fountains-only. Contour alpha 1 bit non encore corrige, comme AM1400A."
AM1512PA,non-traité,AR1512,1,5,54x109,BAM V1,,,,,
AM1516PT,validé-x4,AR1516,1,6,66x100,BAM V1,animations/batches/am1516pt-seedvr7b-apo8-spline-selection-accepted-20260922,animations/index/qa-decisions/AM1516PT/2026-09-22-accepted-am1516pt-seedvr7b-apo8-spline-selection-accepted-20260922.json,2026-09-22,am1516pt-seedvr7b-apo8-spline-fit1-feather8-20260921,"Portail ovale 66x100 d AR1516 (encoche sombre en haut a droite), non Blended, couvert par les murs. SeedVR2 7B/LAB x4 (ReboutCX ecarte : derive vers le violet), Apollo-8 15->30 fps (6->12 phases, sans doublon), spline Fit 1 multi-contour par frame et fondu interieur 8 px x4, RGB preserve, comme PORTL1A/PORTL1B/PORTL2A. QA utilisateur ingame le 2026-09-22 ; voir animation_alpha_corrections.csv."
AM2000A,validé-x4,AR2000,1,28,192x149,BAM V1,animations/batches/ar2000-am2000ab-quadmosaic-cross-spline6-rgb-g2d12s55-20260918,animations/index/qa-decisions/AM2000A/2026-09-18-accepted-am2000a-ar2000-quadmosaic-cross-spline6.json,2026-09-18,cross-cycle-joint-spline6-axis8-16-rgb-g2d12s55,"Version turquoise. Animation quadrant (4 cycles = 4 quadrants d'un même bassin, phase j = frames 2j, 2j+1, 14+2j, 15+2j), fontaine centrale d'AR2000 au point 1769,1223. QA ingame AR2000 validée par l'utilisateur le 2026-09-18. SeedVR2 7B/LAB x4 sur mosaïques de phase (raccord en croix continu), Apollo-8 30 fps (7→14 phases par cycle, aucun doublon), spline conjointe fit 1 + feather 6, alpha source restauré 8+16 px sur les axes, RGB gaussien sigma 2/profondeur 12/55 % sur la croix. Reprend un essai du 2026-09-11/12 (commit 508e9d30, packs ar2000-am2000ab-*-ingame-test-20260912) jamais enregistré, qui présentait une croix visible entre quadrants."
AM2000B,validé-x4,AR2000,1,28,192x149,BAM V1,animations/batches/ar2000-am2000ab-quadmosaic-cross-spline6-rgb-g2d12s55-20260918,animations/index/qa-decisions/AM2000B/2026-09-18-accepted-am2000b-ar2000-quadmosaic-cross-spline6.json,2026-09-18,cross-cycle-joint-spline6-axis8-16-rgb-g2d12s55,"Version bleu nuit, même position que AM2000A. Animation quadrant (4 cycles = 4 quadrants d'un même bassin, phase j = frames 2j, 2j+1, 14+2j, 15+2j), fontaine centrale d'AR2000 au point 1769,1223. QA ingame AR2000 validée par l'utilisateur le 2026-09-18. SeedVR2 7B/LAB x4 sur mosaïques de phase (raccord en croix continu), Apollo-8 30 fps (7→14 phases par cycle, aucun doublon), spline conjointe fit 1 + feather 6, alpha source restauré 8+16 px sur les axes, RGB gaussien sigma 2/profondeur 12/55 % sur la croix. Reprend un essai du 2026-09-11/12 (commit 508e9d30, packs ar2000-am2000ab-*-ingame-test-20260912) jamais enregistré, qui présentait une croix visible entre quadrants."
AM2008A,non-traité,AR1010;AR2008;OH5120,3,15,144x135,BAM V1,,,,,
AM2100PA,validé-x4,AR2100,1,7,100x148,BAM V1,,,,ar2100-portals-apo8-x4-30fps-v2,"Portail AR2100 ; x4 SeedVR2 7B/LAB (run ar2100-portals-seedvr7b-lab-x4) ; V2 TimedTimeline Apollo 8, 15->30 FPS (run ar2100-portals-apo8-x4-30fps-v2 ; 7->14 phases) ; QA vidéo et ingame utilisateur validées le 2026-09-01 ; livré par pack de zone, installation réversible."
AM2100PB,validé-x4,AR2100,1,7,92x134,BAM V1,,,,ar2100-portals-apo8-x4-30fps-v2,"Portail AR2100 ; x4 SeedVR2 7B/LAB (run ar2100-portals-seedvr7b-lab-x4) ; V2 TimedTimeline Apollo 8, 15->30 FPS (run ar2100-portals-apo8-x4-30fps-v2 ; 7->14 phases) ; QA vidéo et ingame utilisateur validées le 2026-09-01 ; livré par pack de zone, installation réversible."
AM2100PC,validé-x4,AR2100,1,7,94x130,BAM V1,,,,ar2100-portals-apo8-x4-30fps-v2,"Portail AR2100 ; x4 SeedVR2 7B/LAB (run ar2100-portals-seedvr7b-lab-x4) ; V2 TimedTimeline Apollo 8, 15->30 FPS (run ar2100-portals-apo8-x4-30fps-v2 ; 7->14 phases) ; QA vidéo et ingame utilisateur validées le 2026-09-01 ; livré par pack de zone, installation réversible."
AM2201A,validé-x4,AR2201,1,7,90x170,BAM V1,,,,am2201a-apo8-x4-30fps-v2-20260901,"AR2201 ; x4 SeedVR2 7B/LAB (run am2201a-seedvr7b-lab-x4-20260901), puis V2 TimedTimeline Apollo 8 15->30 FPS (7->14 phases ; run am2201a-apo8-x4-30fps-v2-20260901). QA vidéo et ingame utilisateur validées le 2026-09-01 ; livré avec AM2201B par le pack AR2201 feather1, installation per-area réversible."
AM2201B,validé-x4,AR2201,5,7,148x115,BAM V1,,,,am2201b-apo8-x4-30fps-v2-spline-fit1-feather1-20260901,"AR2201 ; x4 SeedVR2 7B/LAB, puis V2 TimedTimeline Apollo 8 15->30 FPS (7->14 phases). Ressource Blended : spline Fit 1 multi-contour par frame + feather intérieur 1 px x4 ; RGB prémultiplié par l'alpha final. QA vidéo et ingame utilisateur validées le 2026-09-01 ; livré avec AM2201A par le pack AR2201 feather1, installation per-area réversible. Réserve mineure : un liseré sombre très fin peut subsister ; essais feather3 et Gaussian rejetés, ne réouvrir qu'avec une correction de contour plus localisée."
AM2300A,validé-x4,AR2300,3,7,82x125,BAM V1,animations/batches/ar2300-waterfalls-x4-30fps-test-20260906,animations/index/qa-decisions/AM2300A/2026-09-06-accepted-ar2300-waterfalls-x4-30fps-test-20260906.json,2026-09-06,ar2300-am2300a-occurrence-occlusion-v14,Pack v14 installe transactionnellement; test ingame utilisateur accepte.
AM2801A,validé-x4,AR2801;AR2808;AR2809,3,7,153x108,BAM V1,animations/ressources/AM2801A/runs/ar2801-am2801a-spline-fit1-feather6-20260921,animations/index/qa-decisions/AM2801A/2026-09-21-accepted-ar2801-am2801a-spline-fit1-feather6-20260921.json,2026-09-21,ar2801-am2801a-spline-fit1-feather6,"Bassin ovale, alpha strict, 7 -> 14 phases, sans cover (la carte x4 n'a pas de trou). AR2808/AR2809 etendues par signature, sans carte upscalee."
AM2802A,validé-x4,AR2802;AR2810;AR2811,3,7,152x108,BAM V1,animations/ressources/AM2802A/runs/ar2801-am2802a-spline-fit1-feather6-20260921,animations/index/qa-decisions/AM2802A/2026-09-21-accepted-ar2801-am2802a-spline-fit1-feather6-20260921.json,2026-09-21,ar2801-am2802a-spline-fit1-feather6,"Bassin ovale, alpha strict, 7 -> 14 phases, sans cover (la carte x4 n'a pas de trou). AR2810/AR2811 etendues par signature, sans carte upscalee."
AM2805A,validé-x4,AR2804;AR2805,2,7,93x104,BAM V1,animations/ressources/AM2805A/runs/am2805a-apo8-x4-30fps-v2-spline-fit1-feather1-straight-rgb-20260908,animations/index/qa-decisions/AM2805A/2026-09-19-accepted-am2805a-apo8-x4-30fps-v2-spline-fit1-feather1-straight-rgb-20260908.json,2026-09-19,,"x4 SeedVR2/LAB → TimedTimeline 30 fps Apo-8 → spline fit 1 multicontour / feather 1 px x4 ; flag ARE alpha strict, RGB préservé : run am2805a-apo8-x4-30fps-v2-spline-fit1-feather1-straight-rgb-20260908. Pack AR2804/AR2805 installé pour QA ingame le 2026-09-08 ; aucune décision QA ni release."
AM2805B,validé-x4,AR2804,2,7,186x184,BAM V1,animations/ressources/AM2805B/runs/am2805b-ar2804-fused-carrier-selection-20260908,animations/index/qa-decisions/AM2805B/2026-09-08-accepted-am2805b-ar2804-fused-carrier-selection-20260908.json,2026-09-08,ar2804-am2805bc-fused-carrier-am28add-v1,Validé ingame le 2026-09-08 dans AR2804 avec le composite AM2805B/AM2805C porté par AM28ADD. Réserve non bloquante : amélioration facultative de la jointure horizontale. Installation conservée ; aucune intégration release.
